user_hash,created_at,action,gender,age_band,channel
U003094,2025-06-01T08:03:07Z,comment,M,40s,web
U003718,2025-06-01T08:04:15Z,view,M,20s,web
U002020,2025-06-01T08:05:17Z,like,F,10s,app
U002485,2025-06-01T08:05:43Z,like,M,20s,app
U000465,2025-06-01T08:06:25Z,login,M,20s,web
U003469,2025-06-01T08:09:36Z,login,F,20s,web
U001985,2025-06-01T08:14:51Z,login,M,30s,app
U003949,2025-06-01T08:15:05Z,view,M,40s,web
U000119,2025-06-01T08:22:32Z,login,F,30s,web
U000687,2025-06-01T08:22:48Z,login,F,30s,app
U002255,2025-06-01T08:25:22Z,view,M,20s,app
U001201,2025-06-01T08:29:40Z,comment,M,20s,app
U001594,2025-06-01T08:33:39Z,comment,F,30s,app
U003438,2025-06-01T08:34:15Z,view,F,20s,app
U001041,2025-06-01T08:39:24Z,login,M,20s,web
U002262,2025-06-01T08:40:13Z,login,F,20s,app
U000761,2025-06-01T08:40:27Z,purchase,M,20s,web
U000729,2025-06-01T08:47:39Z,view,M,10s,app
U002867,2025-06-01T08:51:40Z,login,M,30s,web
U001277,2025-06-01T08:57:02Z,view,F,40s,app
U000729,2025-06-01T09:03:01Z,comment,M,10s,app
U002318,2025-06-01T09:04:43Z,login,F,40s,web
U003698,2025-06-01T09:09:26Z,view,M,40s,web
U001505,2025-06-01T09:12:04Z,view,M,20s,app
U002927,2025-06-01T09:16:21Z,view,M,10s,app
U000799,2025-06-01T09:21:33Z,login,F,30s,web
U003384,2025-06-01T09:30:24Z,login,M,20s,web
U003925,2025-06-01T09:34:49Z,login,F,30s,app
U003427,2025-06-01T09:35:41Z,login,F,20s,app
U003925,2025-06-01T09:38:07Z,comment,F,30s,app
U003774,2025-06-01T09:40:14Z,comment,M,20s,app
U001487,2025-06-01T09:43:16Z,comment,F,30s,app
U001910,2025-06-01T09:45:51Z,view,M,30s,app
U003744,2025-06-01T09:46:58Z,login,F,30s,web
U002062,2025-06-01T09:47:24Z,login,F,30s,web
U002169,2025-06-01T09:53:48Z,view,F,30s,web
U000563,2025-06-01T09:54:01Z,comment,M,40s,app
U002973,2025-06-01T09:57:00Z,login,M,30s,web
U000722,2025-06-01T09:57:33Z,login,M,20s,web
U003242,2025-06-01T09:58:58Z,view,F,50s,web
U003672,2025-06-01T10:01:50Z,view,M,10s,web
U003386,2025-06-01T10:02:38Z,like,F,50s,web
U002741,2025-06-01T10:05:22Z,purchase,F,20s,web
U001566,2025-06-01T10:05:52Z,login,M,40s,web
U000367,2025-06-01T10:07:40Z,purchase,M,50s,app
U001947,2025-06-01T10:12:14Z,comment,M,20s,app
U001672,2025-06-01T10:18:11Z,like,F,30s,web
U000442,2025-06-01T10:22:04Z,view,F,30s,web
U003237,2025-06-01T10:26:17Z,view,F,40s,app
U002241,2025-06-01T10:29:39Z,view,F,20s,app
U001740,2025-06-01T10:30:14Z,purchase,M,20s,web
U000320,2025-06-01T10:32:28Z,like,F,20s,web
U003162,2025-06-01T10:33:59Z,purchase,F,40s,web
U001144,2025-06-01T10:34:18Z,comment,M,40s,app
U003326,2025-06-01T10:38:49Z,view,F,20s,app
U003911,2025-06-01T10:39:29Z,like,F,20s,app
U003492,2025-06-01T10:43:19Z,view,F,40s,app
U003696,2025-06-01T10:47:19Z,login,M,50s,app
U001630,2025-06-01T10:50:36Z,view,F,20s,web
U000772,2025-06-01T10:55:44Z,view,M,40s,web
U001217,2025-06-01T10:56:10Z,purchase,M,10s,app
U000780,2025-06-01T10:57:48Z,view,F,20s,web
U002970,2025-06-01T11:04:53Z,view,M,20s,web
U003223,2025-06-01T11:08:11Z,like,F,30s,app
U002285,2025-06-01T11:09:53Z,purchase,F,20s,app
U001993,2025-06-01T11:14:10Z,login,M,30s,web
U001911,2025-06-01T11:16:15Z,comment,F,20s,app
U001510,2025-06-01T11:20:29Z,login,M,30s,web
U002460,2025-06-01T11:32:18Z,login,F,60s,web
U002963,2025-06-01T11:34:42Z,login,F,20s,app
U003438,2025-06-01T11:35:59Z,login,F,20s,app
U001605,2025-06-01T11:39:12Z,login,M,20s,app
U002318,2025-06-01T11:39:27Z,like,F,40s,web
U001092,2025-06-01T11:50:56Z,view,F,20s,app
U003405,2025-06-01T11:51:39Z,comment,F,10s,web
U003846,2025-06-01T11:56:26Z,login,F,10s,web
U000955,2025-06-01T11:58:48Z,view,F,20s,web
U000637,2025-06-01T12:00:56Z,view,F,20s,app
U003032,2025-06-01T12:01:07Z,like,F,20s,web
U002709,2025-06-01T12:06:52Z,comment,M,50s,web
U003961,2025-06-01T12:07:25Z,view,F,30s,app
U001189,2025-06-01T12:09:50Z,view,F,30s,web
U000847,2025-06-01T12:28:48Z,comment,F,10s,app
U001829,2025-06-01T12:28:49Z,login,M,50s,web
U003672,2025-06-01T12:36:08Z,view,M,10s,web
U002476,2025-06-01T12:38:09Z,view,M,20s,app
U001947,2025-06-01T12:38:41Z,login,M,20s,app
U003083,2025-06-01T12:45:42Z,view,F,30s,app
U001903,2025-06-01T12:51:46Z,like,F,30s,web
U003249,2025-06-01T12:54:58Z,view,F,40s,app
U003251,2025-06-01T12:55:19Z,view,M,30s,app
U002728,2025-06-01T12:57:43Z,view,M,10s,web
U000091,2025-06-01T13:00:31Z,view,M,40s,app
U002262,2025-06-01T13:00:34Z,login,F,20s,app
